dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,16,mcuve,1.454,0.563,0.481,0.492,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79,7
indian_pines,15,mcuve,1.466,0.549,0.479,0.475,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78,7
indian_pines,14,mcuve,1.457,0.556,0.485,0.482,62|63|64|65|66|67|68|69|70|71|72|76|77|78,7
indian_pines,13,mcuve,1.599,0.56,0.44,0.484,62|63|64|65|66|67|68|69|70|71|72|73|77,7
indian_pines,12,mcuve,1.509,0.541,0.432,0.46,62|63|64|65|66|67|68|69|70|71|73|77,7
indian_pines,11,mcuve,1.458,0.539,0.417,0.453,62|63|64|65|66|67|68|69|70|71|72,7
indian_pines,10,mcuve,1.454,0.541,0.416,0.456,62|64|65|66|67|68|69|70|71|77,7
indian_pines,9,mcuve,1.457,0.545,0.433,0.459,62|64|65|66|67|68|69|70|77,7
indian_pines,8,mcuve,1.476,0.523,0.382,0.429,62|64|65|66|67|68|69|70,7
indian_pines,7,mcuve,1.45,0.525,0.387,0.429,62|63|64|65|66|67|68,7
indian_pines,6,mcuve,1.454,0.513,0.365,0.414,62|64|65|66|67|68,7
indian_pines,5,mcuve,1.448,0.507,0.345,0.405,64|65|66|67|68,7
